[06-Sep-2025 00:20:43 Europe/Berlin] Insertando: id_grupo=4, anio=2025, mes=8, unidad=cabezas, justificacion=ultima
[06-Sep-2025 00:20:43 Europe/Berlin] Insertando: id_grupo=4, anio=2025, mes=8, unidad=unidades de producción, justificacion=ultima2
[06-Sep-2025 00:23:10 Europe/Berlin] Insertando: id_grupo=4, anio=2025, mes=8, unidad=cabezas, justificacion=yano
[06-Sep-2025 00:23:10 Europe/Berlin] Insertando: id_grupo=4, anio=2025, mes=8, unidad=unidades de producción, justificacion=yano2
[06-Sep-2025 00:24:13 Europe/Berlin] Insertando: id_grupo=4, anio=2025, mes=8, unidad=cabezas, justificacion=sinrestr
[06-Sep-2025 00:24:13 Europe/Berlin] Insertando: id_grupo=4, anio=2025, mes=8, unidad=unidades de producción, justificacion=sinrestr22
[06-Sep-2025 00:24:47 Europe/Berlin] Insertando: id_grupo=4, anio=2025, mes=8, unidad=cabezas, justificacion=por encima
[06-Sep-2025 00:24:47 Europe/Berlin] Insertando: id_grupo=4, anio=2025, mes=8, unidad=unidades de producción, justificacion=por encimaa22
[06-Sep-2025 00:29:36 Europe/Berlin] Insertando: id_grupo=4, anio=2025, mes=8, unidad=cabezas, justificacion=ummm
[06-Sep-2025 00:29:36 Europe/Berlin] Insertando: id_grupo=4, anio=2025, mes=8, unidad=unidades de producción, justificacion=ummm2
[06-Sep-2025 00:59:53 Europe/Berlin] Insertando: id_grupo=4, anio=2025, mes=8, unidad=cabezas, justificacion=uumm modificado
[06-Sep-2025 00:59:53 Europe/Berlin] Insertando: id_grupo=4, anio=2025, mes=8, unidad=unidades de producción, justificacion=ummm2
[06-Sep-2025 01:00:23 Europe/Berlin] Insertando: id_grupo=4, anio=2025, mes=8, unidad=cabezas, justificacion=uumm modificadop2
[06-Sep-2025 01:00:23 Europe/Berlin] Insertando: id_grupo=4, anio=2025, mes=8, unidad=unidades de producción, justificacion=ummm2
[06-Sep-2025 01:00:49 Europe/Berlin] Insertando: id_grupo=3, anio=2025, mes=7, unidad=cabezas, justificacion=avers1
[06-Sep-2025 01:00:49 Europe/Berlin] Insertando: id_grupo=3, anio=2025, mes=7, unidad=unidades de producción, justificacion=avers2
[06-Sep-2025 01:00:49 Europe/Berlin] Insertando: id_grupo=1, anio=2025, mes=7, unidad=cabezas, justificacion=avers3
[06-Sep-2025 01:00:49 Europe/Berlin] Insertando: id_grupo=1, anio=2025, mes=7, unidad=unidades de producción, justificacion=avers4
